approach, domain, threads, workload, time sec,       cycles, instructions, L1-misses, LLC-misses, branch-misses,  task-clock, scale,  IPC, CPUs,  GHz 
optimistic,    256,      10,      mix,     0.35, 1244298822.00, 190719121.00, 5442436.00, 2388999.00,    1832376.00, 340756233.00,     1, 0.15, 0.99, 3.65 
optimisticLockCoupling,    256,       1, contains,     1.60, 5692285841.00, 12911989222.00, 26088042.00,  919117.00,    2055888.00, 1593711168.00,     1, 2.27, 0.99, 3.57 
optimisticLockCoupling,    256,       2, contains,     4.87, 17373905200.00, 6617825105.00, 67007975.00, 33876997.00,    3788968.00, 4836729999.00,     1, 0.38, 0.99, 3.59 
optimisticLockCoupling,    256,       4, contains,     3.17, 11441298915.00, 3152465109.00, 42826068.00, 24491692.00,    3878539.00, 3155835984.00,     1, 0.28, 1.00, 3.63 
optimisticLockCoupling,    256,       6, contains,     2.51, 8949709995.00, 2331240977.00, 35835907.00, 19270355.00,    7948040.00, 2497315003.00,     1, 0.26, 0.99, 3.58 
optimisticLockCoupling,    256,       8, contains,     2.11, 7646804062.00, 1921989718.00, 27230701.00, 16750858.00,    8405309.00, 2097198492.00,     1, 0.25, 0.99, 3.65 
optimisticLockCoupling,    256,      10, contains,     1.87, 6632871958.00, 1761232115.00, 26669415.00, 15151165.00,   11129759.00, 1847263365.00,     1, 0.27, 0.99, 3.59 
optimisticLockCoupling,    256,       1,      mix,     1.56, 5556749462.00, 12664837649.00, 26579626.00, 1423111.00,    2655063.00, 1551308015.00,     1, 2.28, 0.99, 3.58 
optimisticLockCoupling,    256,       2,      mix,     4.06, 14512196161.00, 6247371817.00, 39320478.00, 28437889.00,    3223328.00, 4044233756.00,     1, 0.43, 1.00, 3.59 
optimisticLockCoupling,    256,       4,      mix,     2.88, 10333850798.00, 3326531872.00, 30987765.00, 21699105.00,    3972509.00, 2858637790.00,     1, 0.32, 0.99, 3.61 
optimisticLockCoupling,    256,       6,      mix,     2.19, 7851539052.00, 2416309617.00, 24504890.00, 16013188.00,    8411886.00, 2179285378.00,     1, 0.31, 0.99, 3.60 
optimisticLockCoupling,    256,       8,      mix,     1.70, 6020409607.00, 1745010627.00, 18812028.00, 12829502.00,    5063155.00, 1689769619.00,     1, 0.29, 0.99, 3.56 
optimisticLockCoupling,    256,      10,      mix,     1.40, 5098923246.00, 1489508616.00, 14678368.00, 10275154.00,    7476033.00, 1389501287.00,     1, 0.29, 0.99, 3.67 
  nosync,   1024,       1, contains,     0.54, 1907493152.00, 1907925996.00, 50689165.00,  298984.00,    1163346.00, 539006344.00,     1, 1.00, 1.00, 3.54 
  nosync,   1024,       2, contains,     0.27, 949318885.00, 956329323.00, 23523300.00,  138531.00,     642212.00, 269209075.00,     1, 1.01, 0.98, 3.53 
  nosync,   1024,       4, contains,     0.10, 389053850.00, 508947775.00, 1703573.00,   73668.00,     312574.00, 104371875.00,     1, 1.31, 1.00, 3.73 
  nosync,   1024,       6, contains,     0.09, 314037901.00, 393957136.00, 3071142.00,   60278.00,     237646.00, 86480147.00,     1, 1.25, 1.00, 3.63 
  nosync,   1024,       8, contains,     0.06, 218871475.00, 231139560.00, 4992406.00,   38757.00,     142008.00, 61228649.00,     1, 1.06, 1.00, 3.57 
  nosync,   1024,      10, contains,     0.04, 137038805.00, 193863838.00,  43667.00,    7246.00,     115399.00, 36591832.00,     1, 1.41, 1.00, 3.75 
  nosync,   1024,       1,      mix,     0.44, 1631863235.00, 2113399273.00, 27384771.00,  246184.00,    1636671.00, 436052031.00,     1, 1.30, 1.00, 3.74 
  coarse,   1024,       1, contains,     0.50, 1820716460.00, 2164477605.00, 28040402.00,  128451.00,    1162168.00, 501332543.00,     1, 1.19, 1.00, 3.63 
  coarse,   1024,       2, contains,     0.46, 1731109468.00, 1696849234.00, 3373397.00,  689841.00,   18974833.00, 462280182.00,     1, 0.98, 1.00, 3.74 
  coarse,   1024,       4, contains,     0.76, 2650547714.00, 1874714815.00, 42977943.00, 1341992.00,   32139603.00, 754115833.00,     1, 0.71, 1.00, 3.51 
  coarse,   1024,       6, contains,     0.75, 2695856554.00, 1832986115.00, 33487186.00, 1516830.00,   35519985.00, 749021401.00,     1, 0.68, 1.00, 3.60 
  coarse,   1024,       8, contains,     0.76, 2733502792.00, 1854950640.00, 28464622.00, 1494276.00,   36926907.00, 754547849.00,     1, 0.68, 1.00, 3.62 
  coarse,   1024,      10, contains,     0.80, 2871430241.00, 1837627856.00, 41288317.00, 1679939.00,   33473488.00, 800967521.00,     1, 0.64, 1.00, 3.58 
  coarse,   1024,       1,      mix,     0.56, 2010810689.00, 2371055958.00, 45106495.00,  497935.00,    1779548.00, 559151564.00,     1, 1.18, 1.00, 3.60 
  coarse,   1024,       2,      mix,     0.80, 2902767035.00, 2157408209.00, 46722398.00, 2055421.00,   29342838.00, 797994146.00,     1, 0.74, 1.00, 3.64 
  coarse,   1024,       4,      mix,     1.08, 3774685240.00, 2348053164.00, 60344932.00, 2659412.00,   53886428.00, 1073996828.00,     1, 0.62, 1.00, 3.51 
  coarse,   1024,       6,      mix,     0.98, 3528481247.00, 2345621493.00, 19273723.00, 2296818.00,   57312062.00, 967993539.00,     1, 0.66, 0.99, 3.65 
  coarse,   1024,       8,      mix,     1.07, 3788598459.00, 2404583074.00, 33970881.00, 2682584.00,   67067807.00, 1058904716.00,     1, 0.63, 0.99, 3.58 
  coarse,   1024,      10,      mix,     1.06, 3761845182.00, 2429889524.00, 28199763.00, 2704025.00,   67548659.00, 1041311429.00,     1, 0.65, 0.98, 3.61 
coarseRW,   1024,       1, contains,     0.44, 1632005041.00, 2159085514.00, 20162163.00,  234470.00,    1145017.00, 440994809.00,     1, 1.32, 1.00, 3.70 
coarseRW,   1024,       2, contains,     0.40, 1366983964.00, 1058615255.00, 43817056.00,  579191.00,     611872.00, 394059698.00,     1, 0.77, 1.00, 3.47 
coarseRW,   1024,       4, contains,     0.22, 750946673.00, 501764805.00, 25816778.00,  371782.00,     301565.00, 216893581.00,     1, 0.67, 1.00, 3.46 
coarseRW,   1024,       6, contains,     0.11, 383545964.00, 356945799.00, 2671851.00,  197090.00,     200453.00, 104890498.00,     1, 0.93, 1.00, 3.66 
coarseRW,   1024,       8, contains,     0.10, 343328290.00, 284560955.00, 2088859.00,  272861.00,     186603.00, 95479722.00,     1, 0.83, 1.00, 3.60 
coarseRW,   1024,      10, contains,     0.10, 356070062.00, 233757074.00, 5671755.00,  278034.00,     158225.00, 103737921.00,     1, 0.66, 1.00, 3.43 
coarseRW,   1024,       1,      mix,     0.53, 1960966577.00, 2405712771.00, 40565049.00,  573114.00,    1798274.00, 530307577.00,     1, 1.23, 1.00, 3.70 
coarseRW,   1024,       2,      mix,     0.73, 2650796341.00, 1866848733.00, 45994806.00, 1943433.00,   18122494.00, 730278936.00,     1, 0.70, 1.00, 3.63 
coarseRW,   1024,       4,      mix,     0.83, 2916292662.00, 1764607880.00, 41038150.00, 1920707.00,   33370330.00, 826960029.00,     1, 0.61, 1.00, 3.53 
coarseRW,   1024,       6,      mix,     0.78, 2800996969.00, 1645546104.00, 26572913.00, 1862560.00,   36202006.00, 768466046.00,     1, 0.59, 0.98, 3.64 
coarseRW,   1024,       8,      mix,     0.95, 3362149563.00, 1881933018.00, 44824786.00, 2519117.00,   46174611.00, 948324910.00,     1, 0.56, 1.00, 3.55 
